label,sms
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear   
ham,Ok. There may be a free gym about.   
ham,Discussed with your mother ah?   
ham,"Sorry,in meeting I'll call later   "
ham,Hi Petey!noiåÕm ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x   
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill   
ham,K..k:)how much does it cost?   
ham,Hope you are having a great day.   
ham,They don't put that stuff on the roads to keep it from getting slippery over there?   
spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180   "
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.   
ham,No da..today also i forgot..   
ham,Why did I wake up on my own &gt;:(   
ham,Good Morning my Dear........... Have a great &amp; successful day.   
ham,"Miss ya, need ya, want ya, love ya.   "
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today   
ham,Thanks honey. Have a great day.   
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+   
ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.   
ham,Pandy joined 4w technologies today.he got job..   
spam,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611   
ham,How much you got for cleaning   
ham,Yo sorry was in the shower sup   
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...   "
ham,Still at west coast... Haiz... ÌÏ'll take forever to come back...   
ham,"I can't, I don't have her number!   "
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""   "
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?   "
ham,O i played smash bros  &lt;#&gt;  religiously.   
spam,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly   
ham,He says hi and to get your ass back to south tampa (preferably at a kegger)   
ham,No calls..messages..missed calls   
ham,No need to say anything to me. I know i am an outsider   
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms   
ham,Indeed and by the way it was either or - not both !   
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5   "
ham,Sent me ur email id soon   
spam,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8   "
ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.   
ham,Thanks for looking out for me. I really appreciate.   
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50   
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.   
ham,I wil be there with in  &lt;#&gt;  minutes. Got any space   
ham,Babe ? I lost you ... :-(   
ham,So u wan 2 come for our dinner tonight a not?   
ham,Still chance there. If you search hard you will get it..let have a try :)   
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX   "
ham,May i call You later Pls   
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow   
ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.   
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm   "
ham,Is toshiba portege m100 gd?   
ham,Want to send me a virtual hug?... I need one   
ham,K I'll call you when I'm close   
ham,Me too! Have a lovely night xxx   
ham,:-( sad puppy noise   
ham,Horrible bf... I now v hungry...   
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at   "
ham,"I'm home, my love ... If your still awake ... *loving kiss*   "
ham,Oh yah... We never cancel leh... Haha    
ham,"Aight, you close by or still down around alex's place?   "
ham,Okie   
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.   
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'   "
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD   "
ham,"I didnt get ur full msg..sometext is missing, send it again   "
ham,Yavnt tried yet and never played original either   
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)   "
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)   "
ham,"Sir, i am waiting for your call.   "
ham,Where in abj are you serving. Are you staying with dad or alone.   
ham,I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night   
ham,"When you get free, call me   "
ham,S:)but he had some luck.2 catches put down:)   
ham,cool. We will have fun practicing making babies!   
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.   
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e   "
ham,How many licks does it take to get to the center of a tootsie pop?   
ham,YO YO YO BYATCH WHASSUP?   
ham,Ya very nice. . .be ready on thursday   
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222   
spam,"URGENT! Your mobile No *********** WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm   "
ham,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...   
ham,U studying in sch or going home? Anyway i'll b going 2 sch later.   
ham,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...   
ham,"Haha awesome, be there in a minute   "
ham,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.   "
ham,What u talking bout early morning? It's almost noon where your at!   
ham,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)   
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.   
ham,DO NOT B LATE LOVE MUM   
ham,That is wondar full flim.   
ham,Its a part of checking IQ   
ham,"Lol, oh you got a friend for the dog ?   "
ham,Haf u found him? I feel so stupid da v cam was working.   
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd   
ham,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!   "
ham,I.ll post her out l8r. In class   
ham,Yeah get the unlimited   
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...   
ham,"Good stuff, will do.   "
ham,Msg me when rajini comes.   
spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705   
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B   
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.   
ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.   
ham,Dunno y u ask me.   
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p   
spam,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.   
ham,Lol! Oops sorry! Have fun.    
ham,"So check your errors and if you had difficulties, do correction.   "
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?   
ham,Hey are you angry with me. Reply me dr.   
ham,Mathews or tait or edwards or anderson   
ham,Anything...   
ham,What should i eat fo lunch senor   
ham,I've reached home finally...   
ham,"\Hey! do u fancy meetin me at 4 at cha å_ hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x\""""   "
ham,Right it wasnt you who phoned it was someone with a number like yours!   
ham,Ugh hopefully the asus ppl dont randomly do a reformat.   
ham,"Sorry, I'll call later   "
ham,No plans yet. What are you doing ?   
ham,U still painting ur wall?   
ham,At home watching tv lor.   
ham,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.   
ham,Do u noe how 2 send files between 2 computers?   
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.   
ham,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?   "
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola   "
ham,Jos ask if u wana meet up?   
ham,If i not meeting Ì_ all rite then i'll go home lor. If Ì_ dun feel like comin it's ok.   
spam,"URGENT! Your Mobile No 07808726822 was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU   "
spam,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a   
ham,I'm not sure if its still available though   
ham,From here after The performance award is calculated every two month.not for current one month period..   
ham,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit   
ham,"Haha better late than ever, any way I could swing by?   "
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!   
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...   
ham,Ok i am on the way to railway   
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594   
ham,Erm. I thought the contract ran out the4th of october.   
ham,Thats cool. I want to please you...   
ham,Its not that time of the month nor mid of the time?   
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!   
spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com   
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs   
ham,"Sorry, I'll call later   "
ham,Ok. She'll be ok. I guess   
ham,Great! How is the office today?   
ham,Tell me pa. How is pain de.   
ham,Hmm .. Bits and pieces lol ... *sighs* ...   
ham,Still chance there. If you search hard you will get it..let have a try :)   
ham,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?   "
ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.   "
